0,0,0,0,0,0.004376368,0,0,0.006564551,0,0.010940919,0,0.008752735,0,0,0,0,0,0,0,0,0,0.021881838,0,0,0.06345733,0,0,0,0,0.179431072,0,0,0.584245077,0,0,0,0,0,0,0,0.113785558,0.002188184,0.002188184,0,0,0.002188184,0,0,0
0,0,0,0,0.067401961,0,0,0,0,0,0,0,0,0,0,0.00122549,0,0,0,0.013480392,0,0,0,0.00245098,0.003676471,0,0,0,0,0,0.113970588,0.00122549,0.025735294,0.732843137,0,0.00122549,0,0,0,0.033088235,0,0,0,0.00245098,0,0,0,0.00122549,0,0
0,0,0,0.001695873,0,0,0,0.001130582,0,0,0.001130582,0,0,0.001695873,0.000565291,0,0,0,0.000565291,0,0,0,0,0,0,0.001130582,0.006783493,0.002826456,0,0,0.058790277,0,0.016393443,0.847936687,0,0,0,0,0,0.046919163,0,0.008479367,0.003391747,0,0,0.000565291,0,0,0,0
0.245033113,0,0,0,0.016556291,0,0,0,0,0,0,0,0,0.003311258,0,0,0,0,0,0,0,0,0,0,0,0.003311258,0,0,0,0,0.533112583,0,0,0,0,0,0.003311258,0,0,0.175496689,0,0,0,0,0,0,0.01986755,0,0,0
0,0,0,0.008810573,0,0,0.008810573,0,0,0,0,0,0,0.004405286,0.004405286,0,0,0.387665198,0,0,0,0,0,0,0,0,0,0,0,0.04845815,0.462555066,0,0.066079295,0.004405286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004405286
0.004048583,0.004048583,0,0.04048583,0,0,0,0,0,0,0.020242915,0,0,0,0.012145749,0,0,0,0,0.004048583,0,0,0.028340081,0,0,0,0,0,0,0,0.615384615,0,0,0.020242915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251012146,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004950495,0,0,0,0,0,0.00990099,0,0.643564356,0,0,0,0,0.004950495,0,0,0,0,0,0,0,0.336633663,0,0,0,0,0,0
0,0,0.006666667,0,0,0.003333333,0,0,0,0.03,0,0.003333333,0,0,0,0,0.15,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0.623333333,0,0,0,0,0.016666667,0,0,0,0,0,0,0,0.133333333,0,0,0.02,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004878049,0,0,0,0,0.068292683,0.643902439,0,0,0,0,0,0,0,0,0.004878049,0,0.004878049,0,0.268292683,0,0,0,0,0,0.004878049
0,0.000601685,0,0,0,0,0,0,0,0.000601685,0,0,0,0,0,0,0.000601685,0,0,0,0,0,0,0,0,0,0,0.004211793,0,0,0.184717208,0,0,0,0,0,0.000601685,0,0.015643803,0,0.785198556,0,0,0.005415162,0,0,0,0.002406739,0,0
0.001112347,0.001112347,0,0,0.070077864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003337041,0,0,0,0.022246941,0,0.005561735,0,0.003337041,0,0,0.521690768,0,0,0,0.001112347,0,0,0,0,0,0,0,0,0.006674082,0,0,0.363737486,0,0,0
