0,32331,47890,490567,180190,28511,28799,45686,46502,44248,22954,63754,32302,38540,36451,34706,71137,28911,33089,44062,150684,194668,27085,42814,715040,223479,465852,290964,175222,21752,147133,81135,106859,91038,181728,118442,75701,27234,257099,226228,141470,55087,33412,134554,109361,491669,138287,133283,134129,63640,28009,23277,46162,41583,155947,150888,269817,30580,46034,33440,27415,46685,64779,215378,24054,42005,95230,27015,45254,287329,114903,37978,409449,32884,93336,80511,101444,25721,105451,44762,36420,79339,277314,191574,147505,108905,168021,214352,25022,27605,517832,29351,29563,100898,85979,141188,42876,34679,27142,38404,44023,33118,25974,41874,45469
32331,0,58005,482682,173189,38962,40944,55955,56725,54799,33899,56053,42425,50473,49962,44819,64264,29782,24902,35931,142147,186517,30240,53933,708117,214564,459023,284513,168615,30755,139664,73044,98544,82927,172951,111231,69824,37625,250930,217275,134275,46776,26871,126239,102480,483142,130802,126400,127140,56203,39896,36162,57193,52948,148750,145181,262396,25403,37219,43985,36930,39760,57082,208107,34019,54120,88131,30796,37111,280814,108838,49971,400306,25589,86995,71958,97231,35704,96702,55441,46887,72410,269627,184759,142768,102880,159986,208987,35121,39066,512009,29234,40564,93505,82284,134667,54335,43048,37127,29521,37804,44761,35693,52203,57194
47890,58005,0,515529,206742,34487,34943,9680,8994,11988,46380,91448,29818,18360,22087,29814,98251,54757,56687,68712,178530,222898,54781,15338,743072,249293,494298,317586,202676,49214,174005,105131,130821,116104,206304,142874,105451,37308,282939,253050,166266,80427,60736,160058,135953,517489,163487,157433,160191,89184,40733,46545,7636,17485,181307,176574,297065,59610,73300,29328,40751,74147,89591,242924,44266,14137,122012,53137,71234,313253,140755,19786,437047,56844,119796,104717,130162,44111,130795,11436,20544,106831,303134,218044,175353,136917,195725,243058,44300,40261,545468,53155,37233,127824,113313,166740,15654,30939,41258,66566,72767,29704,44194,16594,9757
490567,482682,515529,0,387441,496982,498390,514629,513995,512771,491635,462253,500725,508313,505700,499325,457950,486064,485080,477061,404715,375849,486634,510855,414197,360160,204409,312225,390493,489677,410204,452558,438968,448231,389549,428733,453520,496453,337304,358705,414353,470698,484537,419235,434572,194644,414794,417380,418426,464753,496232,491666,515259,510032,403750,405939,328628,482811,472415,501001,493324,474500,461820,363493,492627,511510,443837,488100,476905,316672,429674,506735,241044,483987,443299,453748,438341,491710,439588,512079,504227,452510,321531,379217,406542,432256,394710,364249,492189,496654,218051,487508,498728,441599,449852,416521,511813,500678,493237,479363,475560,502925,491757,510933,514014
180190,173189,206742,387441,0,188615,189515,204252,204988,204238,180998,151300,193714,199192,197335,190210,145211,175119,170733,165068,92122,83832,176325,203674,614208,120517,369454,192742,76912,179650,97755,142079,125793,137842,79800,110472,140051,185888,151975,120208,100860,154833,173314,104302,121907,392269,101783,107209,105021,154094,187731,183293,207280,201685,89309,95418,169313,171594,162760,191522,183587,162735,149767,101812,182870,202203,130400,177361,164230,188859,115601,197714,300207,172414,133048,141541,126728,182677,124785,204034,195240,142329,174258,87314,94071,121205,81647,112570,184474,186875,415686,177443,189455,128062,138073,100672,204454,192593,186154,170520,165523,193276,184000,202386,207219
28511,38962,34487,496982,188615,0,16146,34259,33847,33467,28229,73009,20771,27819,26642,21039,80610,37516,40906,51205,158069,202241,35514,30471,723191,229006,474587,298729,182561,30603,154292,87420,111392,96577,187207,124247,86624,19663,264126,232959,148621,61906,41043,140829,116298,499766,143248,138446,141978,71155,20806,26426,34409,29682,161640,156121,277778,40919,51329,22123,23218,55874,73024,223871,23739,32050,102545,34074,51763,295774,121606,27113,417198,39797,99753,85846,108661,26008,111458,32513,23277,87186,282861,198903,155584,116736,174848,224203,26291,22236,525793,35118,18952,108731,95400,148191,31953,22194,22485,46283,52238,21641,26849,30037,33884
28799,40944,34943,498390,189515,16146,0,33005,33203,31155,28557,73181,20189,26855,25276,20943,80894,35696,40444,51199,158925,202169,35608,30147,722437,230130,474891,298897,184729,30575,154644,85864,112124,98653,188631,125741,86324,18383,263776,235173,149317,62620,40051,141331,117458,499830,144514,139026,140944,71031,22216,28252,34137,29048,162772,156979,278588,40353,54437,20727,23152,56400,72602,223825,23151,30390,102843,34432,51985,295734,121576,25645,418598,39551,101171,86228,109477,25962,110782,32331,23877,87960,284409,199163,156334,117626,176466,224393,28031,21942,526175,35934,18296,108599,95868,148805,30681,20708,24535,47045,52216,20965,26493,29101,33322
45686,55955,9680,514629,204252,34259,33005,0,7688,7284,45384,89276,27332,16482,20063,27024,96557,53085,55555,67124,175828,220730,52963,13184,740016,246517,491964,315480,199472,46844,171813,103279,129125,113678,205240,141646,103985,34314,281393,251172,164198,76213,58730,157308,134251,515347,161409,155379,158165,87054,38589,44017,8976,14791,179477,174506,294997,57252,72604,27160,37373,72113,88065,240736,42126,11475,120162,51263,67438,311779,137919,17612,436003,55436,117742,102891,127270,42425,128265,9658,21514,104699,302174,216672,173287,134485,193497,240896,43200,38201,542392,51081,34037,125368,110461,164864,13224,29547,39942,64058,70617,29258,42830,14596,8515
46502,56725,8994,513995,204988,33847,33203,7688,0,9512,44170,89788,26886,16860,20495,22596,96815,52895,55645,68040,175976,221298,53047,13744,740858,246851,492260,315204,199628,47004,170757,104049,130099,113124,204022,141094,102681,35304,281705,251426,164380,77441,57318,157250,133671,514789,160883,155263,158811,86226,38175,43525,8876,15273,179115,173444,294693,57566,72258,27036,37837,70793,87163,240258,42190,12199,118816,50529,68656,310731,138367,17506,435395,54774,118290,102007,127230,41959,128169,8698,21250,104531,301602,216958,172813,134675,192605,240346,42876,37369,543220,51075,34989,125068,110221,164836,13236,28215,39350,64610,69861,27628,42600,15286,8261
44248,54799,11988,512771,204238,33467,31155,7284,9512,0,43708,88452,24534,15762,19137,26166,96103,51483,54593,65648,174004,218336,50955,11218,739484,245637,490544,313830,198142,46068,169937,102167,127821,112694,203730,140930,102033,33232,280113,249680,162266,76801,57052,155506,133199,514425,160397,154435,156965,86090,37583,43069,11070,12901,178129,172948,293403,55832,71474,26170,36455,71217,86747,239026,40924,10551,118264,49831,66660,310621,136233,16278,435829,54436,118174,101045,126206,41133,126555,8106,20540,103667,300374,216058,171719,133431,191739,239962,42730,36989,541668,49493,33351,124976,109195,162958,11686,28347,38896,63050,69003,27826,42172,13348,10507
