0,298407,883235,376947,3607866,2547677,484425,184599,119042,1495299,91454,208812,113153,127840,167199,227213,215196,383808,203078,117997,172451,383793,139107,131145,1926662,194087,286046,163645,188322,390862,149498,89446,2813640,128364,383511,90354,162370,200357,202854,106973,177423,197136,152904,198073,1541718,177653,222151,744445,191710,102654,232265,105276,183682
298407,0,746796,233430,3461483,2401378,342486,394232,326501,1355438,300901,422631,324834,339305,376734,440686,429487,240061,224859,326442,383534,242298,259668,344030,1773985,406184,167857,374164,398791,248827,360873,291543,2679435,339219,243952,297877,249143,411254,413953,317876,385808,408623,360011,410810,1398919,388608,435956,601672,405491,311745,445968,282937,232949
883235,746796,0,700148,3063511,1997540,623426,988932,923257,967972,896519,1013933,919252,935203,971946,1032654,1020783,693749,818277,922858,979352,689324,849992,936228,1366359,998404,753713,968494,990933,690749,956171,890863,2290915,934759,699458,893651,845621,1005356,1006501,914876,979394,1000053,958643,1002532,1022933,981990,1027738,450878,997093,905721,1037706,878515,827133
376947,233430,700148,0,3409851,2347398,294688,472190,402375,1302666,378517,504495,400486,415271,456870,522900,509377,190611,297835,401778,460578,182946,337092,420904,1723127,488928,239469,453640,477057,201539,439257,373253,2625457,416875,194530,373207,323087,493390,496171,393250,464244,488603,441417,490332,1354057,468848,518086,553400,486717,386369,526618,361639,309487
3607866,3461483,3063511,3409851,0,1963449,3333527,3702785,3634360,2659953,3607922,3732976,3629985,3645368,3685417,3750033,3737938,3410468,3530414,3632617,3690893,3400603,3563659,3647683,2377568,3718581,3467950,3680925,3709014,3398584,3667588,3603786,1781332,3645050,3408383,3600922,3552700,3722503,3723668,3624861,3695585,3717902,3669908,3719291,2623296,3696397,3745747,3158637,3715000,3617428,3753961,3589174,3540662
2547677,2401378,1997540,2347398,1963449,0,2275842,2640842,2573103,1599910,2548729,2672039,2569418,2588317,2625662,2690532,2678147,2341899,2470569,2574678,2631578,2342876,2507584,2585572,1304449,2657422,2410321,2618032,2647675,2338323,2609361,2545315,1219251,2583859,2344364,2540151,2491043,2662392,2664217,2566722,2636134,2657391,2611849,2659718,1555251,2637024,2686068,2098596,2655491,2555723,2695066,2531947,2481737
484425,342486,623426,294688,3333527,2275842,0,578802,512575,1231050,484679,607145,508490,524643,562324,627034,615039,287185,405483,507144,568238,285056,443992,526382,1646527,593652,349649,557654,583371,288655,545587,476399,2553667,523711,293342,480071,430979,597714,598765,503514,570100,592593,547725,595190,1281835,572812,622010,480508,589021,493023,631052,467353,415109
184599,394232,988932,472190,3702785,2640842,578802,0,136951,1592292,180867,62787,139850,120699,61710,82388,68137,481905,294869,137136,48762,479254,240746,116602,2028669,48276,387037,66570,38051,485029,87941,189331,2909069,120435,471382,182777,255577,51638,55251,149962,46642,47293,81381,49566,1636713,39784,76528,843470,44203,160947,85978,205399,282919
119042,326501,923257,402375,3634360,2573103,512575,136951,0,1523447,108818,165466,75079,82530,119633,184529,170532,415558,227816,74053,126703,406645,171263,90141,1958674,152855,321362,118477,141800,419870,103488,123708,2840900,80102,407347,114140,193222,155851,157530,87435,129705,152020,109760,152543,1574328,131543,180923,777737,148894,91670,188695,137548,213520
1495299,1355438,967972,1302666,2659953,1599910,1231050,1592292,1523447,0,1495549,1620717,1521674,1535129,1573952,1639836,1627173,1296485,1419337,1519758,1579950,1291054,1453714,1539994,963465,1607182,1358975,1571938,1597097,1292495,1556775,1490435,1901739,1535535,1301324,1493669,1446661,1612788,1613685,1515058,1584348,1607905,1560853,1609384,645637,1586644,1635086,1058762,1605199,1507115,1644524,1481829,1427077
91454,300901,896519,378517,3607922,2548729,484679,180867,108818,1495549,0,209656,104945,121548,161313,228795,217472,386798,203062,105897,168863,383193,142739,125709,1925692,195051,291550,157071,184916,393894,141264,93766,2813656,121544,381571,85764,162858,200419,202430,98675,173649,195246,146994,197565,1544198,174201,224105,744249,191478,91230,233303,108752,185712
208812,422631,1013933,504495,3732976,2672039,607145,62787,165466,1620717,209656,0,169785,147500,89663,37675,23458,508424,323124,166537,80047,508713,270133,145063,2056588,40905,414698,95921,55158,514372,115888,217392,2938164,149386,500185,213696,283262,32611,29736,179935,73925,39662,111752,39291,1665590,69779,32049,873107,44700,190446,41829,233924,312158
