0,9917,17386,4478,4483,4689,4484,4761,24980,8807,65821,61731,18044,6596,20790,4778,68136,48384,11194,22814,5911,4934,4484,38595,52497,4783,5482,11963,4640,10462,33233,126957,9371,4769,19725,4555,15002,5251,4657,4759,17945,4690,4714,5475,6416,4831,4678,4733,36032,5417,13313,35319,4932,9668,17432,10555,5227,4870,5900,7163,13875,127560,71524,7076,5353,5283,28501,72217,4789,4692,7082,15463,4500,7634,4646,4979,10999,61148,5515,5115,5140,4692,4823,4931,52442,7755,42946,7585,15711,5722,4599,4548,21888,5283,4809,4908,5589,6220
9917,0,18244,10397,10373,10836,10223,10902,23401,9926,62414,58581,16492,9512,19070,9915,64238,45066,11271,21194,9852,11305,10478,36066,49371,11162,12062,11450,9956,10940,31270,122243,10190,11000,18378,10583,14014,11712,10910,10207,16622,10334,10737,12034,9873,10159,10524,10190,33307,9720,12818,32540,10082,10490,16209,10994,9789,9779,9497,9801,13074,123077,67991,9737,10978,10888,26146,68608,10057,9948,9801,14233,10642,10000,10887,11267,11094,57527,9872,11541,11589,10184,11034,11295,49232,10068,40099,9837,14911,9841,10064,10547,20309,11227,11011,11180,12200,9954
17386,18244,0,20082,20142,20688,19928,20786,23797,18099,59934,56387,19151,18490,20540,19243,61986,43427,18615,21985,18954,21144,20311,35105,47364,21023,22011,18642,19515,17918,30963,119155,17945,20791,19928,20285,18246,21621,20697,19771,18990,19902,20431,21987,19052,19709,20168,19783,32448,18885,18334,31754,19502,17823,18846,18436,18892,19025,18711,18598,18390,120124,65618,18532,20592,20527,25908,66628,19190,19506,18644,18079,20354,18594,20726,21126,18657,55914,19065,21429,21476,19702,20851,21187,47566,18554,38952,18543,18609,18917,19545,20261,21155,20886,20918,21050,22152,19121
4478,10397,20082,0,2619,2318,2819,2384,25635,8582,67070,63029,18595,6381,21461,3978,69536,49586,11568,23585,5619,2665,2611,39576,53773,2576,3225,12254,3440,10820,34156,128730,9505,2608,20520,2691,15564,3029,2531,3857,18552,3450,2888,3226,6484,4060,3061,3776,37160,5144,13801,36415,4217,9847,18135,10983,4858,4313,5775,7097,14414,129240,72941,7007,3609,3632,29479,73669,4077,3579,7100,15960,2630,7616,2547,2854,11503,62549,5269,2939,2951,3618,2786,2811,53747,8014,44226,7521,16220,5526,3539,2576,22781,3349,2693,2856,3337,6183
4483,10373,20142,2619,0,2234,2643,2309,25772,9067,67373,63304,18866,6544,21713,3982,69839,49858,11621,23691,5732,2292,1053,39790,54002,2400,2906,12219,3768,10884,34207,129015,9579,2472,20716,2557,15686,2754,2276,3808,18744,3403,2715,2947,6533,4030,2955,3726,37393,5178,13937,36620,4108,10090,18326,11029,4993,4302,5761,6924,14497,129492,73200,7229,3454,3389,29783,73938,4064,3427,6968,16156,2235,7585,2221,2625,11542,62679,5379,2677,2695,3699,2584,2568,53997,8151,44471,7690,16459,5612,3508,2405,22911,3079,2469,2493,3039,6136
4689,10836,20688,2318,2234,0,2604,626,26348,9483,68202,64066,19514,6891,22355,4148,70668,50638,11890,24300,5650,1546,2044,40447,54800,1618,1959,12448,3735,11402,34679,129919,9978,1872,21307,2297,16240,1887,1768,3906,19297,3469,2479,2010,6821,4116,2845,3835,38132,5508,14389,37403,4122,10475,18918,11511,5180,4654,6222,7401,14871,130421,74035,7454,3166,3281,30486,74717,4315,3621,7350,16794,2040,8008,1779,1857,11805,63554,5544,1785,1783,3659,1957,1664,54811,8531,45217,7684,17031,5826,3692,2306,23612,2626,1858,1710,2094,6290
4484,10223,19928,2819,2643,2604,0,2585,25564,8945,66911,62796,18577,6386,21337,4007,69324,49344,11363,23438,5543,2827,2457,39457,53574,2797,3420,12025,3798,10658,33828,128513,9368,2913,20474,2898,15422,3218,2688,3844,18429,3417,3008,3427,6352,3966,3063,3766,36960,5197,13547,36198,3907,9793,18090,10935,4889,4361,5452,6599,14178,129010,72791,7035,3458,3637,29362,73466,4114,3040,6809,15837,2227,7183,2405,3044,11212,62245,5262,3128,3145,3669,3009,3012,53561,8185,44052,7418,16157,5524,3316,2294,22675,3326,2921,2886,3540,5898
4761,10902,20786,2384,2309,626,2585,0,26411,9559,68293,64153,19555,6964,22411,4216,70756,50704,11938,24368,5680,1465,2103,40532,54890,1668,1857,12564,3779,11466,34727,130008,10012,1826,21374,2369,16335,1784,1725,3932,19403,3507,2485,1903,6828,4118,2843,3845,38214,5538,14434,37449,4104,10568,18979,11554,5292,4739,6273,7527,14942,130515,74134,7477,3150,3254,30555,74799,4315,3674,7460,16843,2062,8050,1858,1787,11832,63638,5559,1675,1682,3636,1859,1666,54898,8614,45287,7707,17102,5843,3611,2191,23686,2598,1839,1672,1991,6319
24980,23401,23797,25635,25772,26348,25564,26411,0,23410,57084,55789,22695,23861,23226,24726,60796,42814,23055,23811,24283,26808,25970,34720,46686,26762,27729,22794,24984,23391,29906,114102,23524,26455,23063,25917,22914,27339,26417,25377,22934,25527,26106,27700,24438,25273,25786,25365,32428,24414,22922,31761,24998,23622,22880,23267,24465,24705,24206,23789,23052,115934,59380,23917,26000,26004,26710,63632,24984,25096,23478,22552,26167,23673,26439,26743,22981,53955,24591,27149,27199,25240,26551,26856,46882,23908,38225,24034,23296,24529,25042,25900,23774,26484,26515,26780,27875,24371
8807,9926,18099,8582,9067,9483,8945,9559,23410,0,62080,58461,15541,7834,18670,8390,64156,44791,10866,20817,8452,9968,9223,35980,49116,9787,10844,11500,8159,10070,31538,122465,9119,9687,18032,9284,13561,10494,9555,9002,16216,9106,9484,10835,8730,8994,9310,9013,32937,8307,12480,32256,9119,9600,15924,10438,8228,8264,8224,8693,13127,123187,67658,8527,9752,9614,25749,68378,8639,8594,8682,13497,9345,8885,9609,10041,10852,57631,8751,10293,10340,8900,9792,10072,48900,8801,40289,8674,14432,8464,8550,9142,19654,10053,9811,9995,10983,9039
